epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1278.93,1.55235,0.71224,0.97085,0.92044,0.000222118,0.000222118,0.000222118
2,2524.69,0.85596,0.78688,0.9828,0.67051,0.000400451,0.000400451,0.000400451
3,3790.03,0.72253,0.79096,0.98542,0.64837,0.000534761,0.000534761,0.000534761
4,5039.68,0.63637,0.81691,0.98717,0.55767,0.000468901,0.000468901,0.000468901
5,6292.95,0.58336,0.82857,0.98921,0.52797,0.000402868,0.000402868,0.000402868
6,7544.37,0.5415,0.8312,0.99038,0.50981,0.000336835,0.000336835,0.000336835
7,8797.12,0.51322,0.83469,0.99038,0.50344,0.000270802,0.000270802,0.000270802
8,10048.7,0.49756,0.84373,0.99184,0.48347,0.000204769,0.000204769,0.000204769
9,11297.7,0.4787,0.84519,0.993,0.46711,0.000138736,0.000138736,0.000138736
10,12548.2,0.46719,0.84752,0.99155,0.46473,7.2703e-05,7.2703e-05,7.2703e-05
